Name,Gender,Age,MStat,PostCode,Population,NClaims,TotalClaims
HERSCHEL CORONEL,M,33,S,5254,2266,0,0
MELINDA WITTE,F,19,M,3803,10161,0,0
ANTIONETTE WOMACK,F,17,S,2615,43703,0,0
DORSEY SALINAS,M,20,S,3977,67423,0,0
NEVILLE MARIANO,M,47,S,3145,21301,0,0
ROSANNA GREY,F,90,S,2259,53994,0,0
LAURI COON,F,64,M,2168,41911,0,0
EMERY RAMIREZ,M,44,S,3028,27778,0,0
OCTAVIO MOTA,M,32,M,2262,20153,2,4163.601923
BENNY DENNY,M,55,S,2444,42618,1,2701.681392
LAVONE KEYSER,F,31,S,6163,46259,0,0
TRULA MCGILL,F,18,M,2065,27175,0,0
DWAIN WHEELER,M,41,S,3090,2095,0,0
ELSIE MILLAN,F,60,S,6503,2044,1,2424.262206
HENRIETTE ALMOND,F,55,S,4412,403,0,0
JOHN KINGSTON,M,42,S,2345,768,0,0
SHERIE LEIGH,F,26,M,2199,16003,0,0
LINCOLN HOOKS,M,43,M,4574,1212,0,0
LETA COUSINS,F,58,S,2870,12219,0,0
ISIAH COLSON,M,69,S,2155,44028,3,11928.50063
JEROLD YEAGER,M,59,S,7310,27182,0,0
ABE FRAUSTO,M,18,M,5013,9884,0,0
RONALD MALLORY,M,47,S,3044,24421,1,316.165023
PERRY MONTOYA,M,78,S,2008,6296,2,8198.380518
BYRON MINTON,M,52,M,3219,20051,1,1410.195954
SAL SWANN,M,36,M,4214,35809,2,24293.68556
MILDA BRINKLEY,F,64,S,3181,18262,0,0
PATRICIA HARDMAN,M,39,S,2780,12920,0,0
JAIME STATON,F,43,M,3122,21178,0,0
ADELINE CABRERA,F,24,S,2447,6811,0,0
TRESSA BALLARD,F,74,S,6058,11811,0,0
PHILIP SLAUGHTER,M,28,M,3337,31874,0,0
BLAINE ALDANA,M,30,S,3166,22343,0,0
ISAAC VAUGHN,M,35,M,2525,10629,0,0
ASHLEY BOGGS,M,18,M,3352,14629,0,0
JANICE RYAN,F,89,S,2093,21611,0,0
VICENTE CHANG,M,50,S,3070,22920,1,1632.932443
OZIE BROOME,F,63,S,6065,52076,0,0
RUBIN LANGFORD,M,88,S,5086,15158,0,0
VERNA WETZEL,F,25,S,3175,47994,3,18945.2729
LUIGI MEJIA,M,33,S,2471,2579,0,0
ROSIO COYNE,F,76,S,3060,12595,0,0
LELAND RAYBURN,M,50,S,4161,16728,0,0
WALTON LEAHY,M,38,M,3214,23442,0,0
REGENIA KINSEY,F,20,M,3184,14640,0,0
VERLENE BROCKMAN,F,64,S,4064,9976,0,0
EDYTHE ROMANO,F,37,S,3850,14259,0,0
LEMUEL HAYDEN,M,46,S,4505,18727,0,0
ADALINE MULLEN,F,28,S,5016,8366,1,6756.803517
BUFORD DALTON,M,16,S,5043,17585,1,16872.4718
ROMAN DEAL,M,39,S,2454,7350,0,0
MARIANNE ROSENBERG,F,27,M,2011,18040,0,0
HERIBERTO BOCK,M,80,S,4613,494,0,0
STACEY SATTERFIELD,M,76,S,4164,12806,0,0
JESTINE FORRESTER,F,24,M,2157,3710,1,7194.72505
JEANMARIE MCWHORTER,F,17,S,3669,1083,0,0
MAURO STILL,M,48,S,4164,12806,0,0
JASON RICKARD,M,22,M,3145,21301,0,0
BRETT HANNA,F,55,S,6076,21503,1,1084.343855
KATELYNN CABALLERO,F,72,S,3046,30803,0,0
TIFFANY COLBY,F,51,M,4871,16104,0,0
TREY LU,M,42,M,4350,102245,0,0
ALBERTINA BOUDREAUX,F,75,S,3858,2885,0,0
BLAKE TAMAYO,M,79,S,3138,20691,0,0
AUGUSTUS CLIFTON,M,25,M,4218,29661,0,0
DARRYL LEON,M,65,S,2305,11941,0,0
RUBEN SCULLY,M,51,S,2480,44394,0,0
KATHI BRITO,F,27,S,6110,34863,1,1266.345219
BETHEL GEARHART,F,34,M,2216,26060,0,0
KIETH ROMO,M,35,S,3128,17373,1,300
ESTER YOUNGER,F,73,S,4122,41929,0,0
LAREE OAKLEY,F,65,S,5000,12639,1,2380.330411
TISH HANCOCK,F,19,M,3575,881,0,0
JOESPH WHITLOW,M,36,S,3065,9433,0,0
FRANKIE GONZALEZ,F,26,S,6151,16437,0,0
CALEB BARRETT,M,50,S,4209,34156,0,0
MYRON SAMSON,M,33,S,4121,23782,1,20359.68232
CANDIE PRUETT,F,20,M,2047,11378,0,0
DELPHA PRESTON,F,47,S,3941,11704,0,0
ISABELL BLACKMAN,F,49,S,6052,10444,0,0
TUAN GREER,M,37,S,4070,10549,0,0
HYE WAHL,F,60,S,6107,36882,0,0
FRANCIS FALLS,M,22,M,6525,3568,0,0
RONNI TILTON,F,21,M,2066,27623,0,0
SEBRINA LAIRD,F,78,S,5253,17886,0,0
NITA KIDD,F,27,S,3150,58306,1,1715.323255
EZRA CROWELL,M,55,S,2045,6651,0,0
BETTIE KILPATRICK,F,19,M,5066,11295,0,0
JOHNNY JOLLY,M,41,S,2136,6719,0,0
MAURICE RICHMOND,M,48,S,2580,27112,1,5267.497594
SCOTT KEARNS,M,49,S,2040,20861,1,9353.199525
ELINA DUPREE,F,84,S,3934,17089,0,0
LESLEY UPTON,M,49,S,2151,20223,0,0
BETHANIE SMALL,F,22,M,4153,4593,0,0
GREGORY KLINE,M,59,S,5163,14154,0,0
JONATHON BELLAMY,M,54,S,3204,28184,0,0
DEMETRA GARVEY,F,70,S,6100,13610,0,0
MITCH GIRARD,M,35,M,2558,11121,0,0
BRAD MUELLER,M,30,S,4555,6678,0,0
QUINTON BONILLA,M,47,S,5081,8646,2,6056.812449
SPARKLE CROUSE,F,65,S,6107,36882,1,4574.294882
DARELL STURM,M,32,S,5173,11817,0,0
RAYFORD FLAHERTY,M,50,M,4007,10453,0,0
JETTIE LINDQUIST,F,35,M,2526,15831,0,0
EDISON HOROWITZ,M,39,S,5095,17928,0,0
LEE GINGERICH,M,66,S,2329,2142,1,6932.575444
ASSUNTA LOVING,F,52,S,4109,35371,1,6831.764983
MELONY FARRINGTON,F,43,S,5041,12972,0,0
EDRIS SHIPMAN,F,49,M,2777,17783,0,0
HEIDY CRAIN,F,52,S,3146,24947,2,8295.130482
ELMO WYATT,M,32,M,2779,4534,0,0
BESSIE BRADFORD,F,40,S,5211,14451,0,0
FEDERICO KIEFER,M,32,S,3058,31552,0,0
DESIREE PERKINS,F,44,S,4870,66306,0,0
MARIO CANNON,M,24,M,2250,65633,1,1995.872312
JEFFERSON HAGGERTY,M,56,S,2324,22535,2,5832.729667
KESHIA BRUNER,F,45,S,6164,47545,0,0
WALDO GUERRA,M,61,S,2480,44394,0,0
BLAIR MELO,M,30,S,2112,27771,0,0
POLLY MADDEN,F,78,M,2780,12920,0,0
ALEXANDRIA FRANCOIS,F,37,S,2460,28593,0,0
DONNIE BURKHOLDER,M,73,S,6355,856,0,0
LEN NGUYEN,M,51,S,6172,14106,1,3216.963974
LELAH GIBBONS,F,74,S,4122,41929,0,0
CALEB BARGER,M,71,S,3328,1479,0,0
GREGORIO BRATTON,M,22,M,4113,27447,1,6989.395129
PABLO MCRAE,M,31,S,4573,21404,0,0
JANE CURRIER,F,47,S,2196,29598,0,0
THEODORE HYLAND,M,55,S,2101,17980,0,0
SHERWOOD BATEMAN,M,26,M,3186,21255,0,0
RACHEL CAMERON,F,68,S,3166,22343,0,0
JANENE STAPLETON,F,62,S,6208,9619,0,0
ARIEL SEARS,M,50,S,6171,15883,0,0
COLETTE SHELLEY,F,32,S,3922,6798,0,0
MERRILL NAVARRETE,F,84,S,2145,71312,0,0
KRAIG AGUILERA,M,52,S,4573,21404,0,0
ROYAL PETTIT,M,58,S,4670,77161,1,10738.14005
CHUNG ROSE,M,62,S,2680,22687,0,0
ROMEO KEHOE,M,20,M,2138,13519,0,0
CORRINNE JAMESON,F,27,S,4870,66306,0,0
AGUSTIN EMMONS,M,56,M,6176,711,1,300
ERIN PAQUETTE,M,47,S,3564,15199,1,1495.519243
ESTELL CREWS,F,57,S,2646,6791,0,0
HAROLD EDWARDS,M,74,S,853,743,0,0
LAKIA HEATON,F,44,S,870,25187,1,412.3730378
KEIRA SALVADOR,F,41,S,6171,15883,1,1437.790209
ANGEL DAYTON,M,53,M,6026,22425,0,0
ARTHUR WOJCIK,M,30,M,3976,23768,2,15616.42319
DUSTY VERA,M,32,S,4017,35809,0,0
MARCHELLE VOLPE,F,47,S,3136,40963,0,0
SHERI VANN,F,60,S,3030,77756,4,19551.30584
HOBERT HOLMAN,M,75,S,2260,21788,0,0
SOLOMON MEJIA,M,23,M,3156,35656,0,0
MANUAL MCCORKLE,M,18,M,3810,35309,0,0
JAMEL RIGGS,M,46,S,7007,2921,1,6576.976287
CLARA SUGGS,F,19,M,2211,16212,0,0
EUSTOLIA LIMON,F,34,S,2017,14469,0,0
ISAIAH SHAH,M,28,M,4305,57601,0,0
DIGNA RAGSDALE,F,56,S,6105,13518,0,0
OLINDA FAIR,F,49,S,2093,21611,0,0
ODETTE RUVALCABA,F,82,S,4077,25158,2,8632.303877
DEVON CAMP,M,47,S,2112,27771,0,0
ROSAMARIA NEWTON,F,44,S,2540,41738,0,0
NELDA KEMPER,F,22,M,2830,37737,1,1000.370632
PATRICIA HUGHES,M,55,S,2483,10032,1,3164.772411
JACKSON BRILL,M,73,S,3401,4525,0,0
SIU STEADMAN,F,38,M,3636,5416,0,0
MARIBEL BRITTAIN,F,51,S,2768,26462,0,0
SHAYLA DELAROSA,F,50,S,2067,22621,0,0
NATOSHA SERNA,F,57,S,2067,22621,0,0
WILBUR CONLEY,M,40,S,4116,23308,0,0
PHUNG WINSTON,F,35,S,4570,39094,0,0
AMERICA CASTANON,F,64,M,6031,11333,0,0
LUELLA HARDMAN,F,62,S,2136,6719,0,0
CHARISE OUELLETTE,F,18,M,2641,14313,0,0
MY CORBETT,F,46,S,2770,60345,0,0
DARYL SOMERS,M,64,S,6308,1601,0,0
SANFORD FORSTER,M,39,M,6021,19151,0,0
ELBERT BANKS,M,54,M,3059,11968,0,0
ALDEN VARGO,M,47,M,2620,36434,0,0
MACHELLE CALVERT,F,75,S,3056,22763,1,7006.060323
TIEN AGUIRRE,F,42,S,3040,23869,0,0
CATERINA ROE,F,49,S,3013,13745,0,0
FIDEL DICKERSON,M,43,S,3714,3250,0,0
ROCHELL DYKES,F,49,S,6230,40641,1,2918.045348
ZENOBIA TILLMAN,F,25,M,5114,29097,0,0
ALLENA ROMERO,F,39,S,2327,7359,0,0
KETURAH ROSARIO,F,66,S,4103,13220,0,0
RODOLFO ARENAS,M,16,S,2166,49723,0,0
THEDA GONZALEZ,F,58,S,6210,60895,1,1333.084731
MERCEDES PHELPS,F,62,S,4816,8592,0,0
QUENTIN CORBIN,M,28,M,4218,29661,0,0
CHARLEY BRANDON,M,66,S,3429,34575,1,300
GINO DYE,M,69,S,2213,20376,1,2278.766793
GALEN FELICIANO,M,38,S,2032,15265,0,0
CARISSA DRUMMOND,F,33,S,3046,30803,0,0
RALEIGH TAVERAS,M,78,S,4502,8500,0,0
ANDY SHAVER,M,51,S,4487,3294,0,0
KENNETH WOODARD,M,35,S,4105,12833,0,0
ZACKARY LUNG,M,49,S,2063,5931,0,0
GALEN MUNDY,M,48,M,5012,9707,0,0
ORVILLE PADRON,M,21,M,2652,4851,0,0
JUAN PULLEY,M,25,S,2747,34249,1,1944.351505
KELLEY AVELAR,M,31,S,6018,34379,1,3598.253112
ANDRES BROYLES,M,54,S,2196,29598,0,0
PABLO HOFFMAN,M,38,S,4211,56333,1,6940.057465
DARIUS ROMEO,M,68,S,2541,24143,0,0
LENARD JORGENSON,M,68,S,4218,29661,0,0
CARINA SEARCY,F,87,S,2150,24811,0,0
KEISHA PARNELL,F,40,S,4650,32850,0,0
EMELIA EASTER,F,25,M,4208,15753,0,0
COLUMBUS SCHOLL,M,54,S,2519,16241,0,0
MAURICIO PELAYO,M,71,S,2574,5421,0,0
LIANNE BEGAY,F,44,S,2430,32568,2,11544.26505
TEODORO COUCH,M,65,S,6208,9619,0,0
TYRON QUEVEDO,M,56,M,4163,14414,0,0
VELLA CHOWDHURY,F,24,M,3038,28159,0,0
GISELE WILD,F,88,S,2099,36685,0,0
HIEN SOMERS,F,80,S,3818,12088,0,0
MADALENE CARLTON,F,76,S,2011,18040,0,0
DENVER LOOMIS,M,29,M,3125,13163,1,7034.728104
MOHAMMED CHILDS,M,26,S,6081,4717,0,0
HERSCHEL MADERA,M,58,S,4121,23782,0,0
VAUGHN ROBSON,M,44,S,6052,10444,0,0
JEANENE STAGGS,F,28,M,2038,8669,0,0
ANABEL CUELLAR,F,36,S,2007,7111,0,0
CATHRINE VICKERY,F,35,M,3461,3953,0,0
ROSENDO GABLE,M,53,S,4179,18151,1,4295.482209
MIKEL COLBERT,M,21,M,2029,9400,0,0
NOMA SPEER,F,24,M,6728,6897,0,0
MICHEL BAUMANN,M,39,M,3182,20643,0,0
MARCEL LO,M,37,S,4305,57601,0,0
DESMOND DUQUE,M,21,M,2282,14460,0,0
JACQUELIN HARRISON,F,27,S,3639,508,0,0
RAYFORD HOUSER,M,38,S,6030,37588,0,0
GROVER RUTH,M,46,S,6210,60895,0,0
CHARLINE KOSS,F,32,S,2731,5561,0,0
BRYAN SUGGS,M,47,S,3340,17992,0,0
JOHNATHON CHRIST,M,33,S,2481,10701,1,11165.09801
JUAN TROWBRIDGE,F,45,S,5250,3102,0,0
RENATO WILLOUGHBY,M,49,S,3931,22420,0,0
ADALBERTO DUNAWAY,M,56,S,5158,24026,0,0
REYES WENDT,M,47,S,2477,11247,0,0
ELENA MCCLELLAND,F,21,M,4825,22262,0,0
TESSIE WYLIE,F,78,S,3030,77756,0,0
YOLONDA DO,F,51,M,2226,11874,0,0
EDISON HERZOG,M,56,M,6107,36882,0,0
DELBERT GARZA,M,29,M,4650,32850,0,0
EUGENA MCMILLEN,F,42,S,4740,79542,0,0
NORAH BURTON,F,37,S,4227,18386,1,1792.360939
DIRK CROSBY,M,67,S,2515,10385,2,3769.523222
LYNELLE BLACKWOOD,F,62,S,2113,16800,1,859.7137412
DESHAWN PROSSER,M,50,S,6210,60895,0,0
GOLDIE DEBOER,F,47,S,2557,4002,0,0
GWENDOLYN KEENAN,F,38,S,2177,15188,0,0
YAEL SPROUSE,F,40,S,2162,16989,0,0
LUCRETIA DARLING,F,87,S,3630,29554,0,0
KELLEY STOUT,M,82,S,2135,23097,0,0
PENNEY LASSITER,F,56,S,6022,4982,0,0
ALEX DOWNING,M,52,S,3321,1184,0,0
JEFFREY STEARNS,M,63,S,3551,24131,0,0
ROBERT BEHRENS,M,65,S,4870,66306,0,0
LYNNE NAGY,F,34,S,4700,18116,0,0
KHADIJAH SCHELL,F,71,S,2745,26233,0,0
ROZANNE POE,F,23,M,2168,41911,1,1699.978097
LOREN MCFALL,F,54,M,4816,8592,0,0
COURTNEY BOWSER,M,21,S,2428,22699,0,0
EDDY KEYS,M,40,S,2081,5166,0,0
KEELY SANDHU,F,21,M,4061,15951,0,0
JUSTIN SOLORIO,M,17,S,2154,37914,1,9651.570168
CATALINA REDMON,F,45,S,3825,20324,0,0
ISIDRO FUENTES,M,18,M,4312,3011,0,0
THANH FRANCE,M,21,M,2617,29650,0,0
PERRY WARD,M,27,M,2095,15074,0,0
MEGHANN NEWLAND,F,25,M,2217,23624,0,0
PEARL WHYTE,F,39,S,3163,29551,0,0
KING ACKERMAN,M,23,M,4810,21525,0,0
TITUS NICHOLSON,M,61,S,2304,14969,0,0
KIP BRINKMAN,M,27,S,3216,52005,1,1097.506474
LYNWOOD MCCLINTOCK,M,45,S,2782,5935,0,0
FRANCESCO MOREY,M,66,S,4114,33199,0,0
JAMES BENNETT,M,40,S,3198,16033,2,6135.769382
MEE DANNER,F,47,M,2200,40612,0,0
ANGELIC SOLOMON,F,31,M,3337,31874,0,0
JANELLE KEYSER,F,62,S,2153,52452,0,0
ALYSIA ROBLES,F,23,M,2153,52452,1,5436.552294
JOSEPH MAIN,F,46,S,4128,15877,0,0
LUIS STEVENSON,M,58,S,4105,12833,0,0
ROOSEVELT VERDUGO,M,71,S,7015,9899,0,0
RODRICK RAWLS,M,25,M,4304,15548,0,0
MATTHEW HEARN,M,23,M,4818,20306,0,0
ELYSE HINES,F,44,M,4034,41832,0,0
JORDON BILLINGS,M,37,S,2580,27112,1,657.2425924
BEVERLY SAUL,F,20,S,2152,10224,1,9615.34046
HONG HOOPER,M,46,S,2612,14666,0,0
TIMOTHY MOELLER,M,37,S,5115,6907,0,0
STAN SWENSON,M,26,M,3810,35309,1,17121.52432
ELLIS CONLON,M,33,S,2470,14549,0,0
DONA JOE,F,20,M,3847,2166,0,0
ANGILA BRACKEN,F,28,S,3131,21001,0,0
JEROLD LASSITER,M,69,M,6430,23007,1,20513.21341
WILLY SIFUENTES,M,37,M,3691,8397,0,0
YVETTE HAASE,F,66,S,5108,37960,0,0
THADDEUS HUANG,M,18,M,3461,3953,0,0
WILLIE PARISH,M,16,S,2287,33274,0,0
AVELINA AIKEN,F,24,S,2913,25418,0,0
ALPHONSE CEBALLOS,M,28,M,5084,9476,0,0
GLENN OLDS,M,48,S,5211,14451,0,0
ROCCO SPAIN,M,32,S,3840,16616,0,0
PORTER BETHEL,M,23,M,7325,8570,0,0
THEO KOEHLER,F,44,M,3224,10112,0,0
MOHAMMAD MOONEY,M,53,S,4109,35371,1,13617.72162
EMELINA NOBLES,F,21,M,6160,7668,0,0
TOD MINOR,M,78,S,2176,46064,0,0
DAVIS MATTOX,M,28,M,2170,95044,0,0
EARL GAITAN,M,61,S,2795,39879,0,0
DOUGLASS SENA,M,34,S,4306,31409,1,300
GLENNIS JAIMES,F,37,S,6104,13288,0,0
IVAN KAISER,M,22,M,4560,28041,0,0
TAKISHA SOUSA,F,29,M,4152,42501,0,0
YUK ZAMBRANO,F,29,M,3182,20643,1,2641.88681
EVELINE HURD,F,46,M,5554,5211,0,0
RORY GERMAIN,M,34,M,4810,21525,1,1200.954164
HERMAN KIRK,M,21,M,2650,53974,1,2972.998088
RAYNA YODER,F,58,S,4680,50832,0,0
EBONI KEYSER,F,41,S,2065,27175,0,0
VITO HOLMAN,M,34,S,2615,43703,1,13439.61814
MELONY FAN,F,39,S,2060,12268,1,4174.268132
LOREN JORGENSEN,M,62,S,2234,30830,0,0
FAUSTO GRIM,M,54,S,5097,13318,0,0
PAUL LAMBERT,M,16,S,2669,2002,0,0
GARY HOANG,M,46,M,2285,27798,0,0
MYLES MELO,M,34,S,6054,19767,0,0
RICHELLE AHRENS,F,85,S,7320,16724,0,0
TERRELL SHAW,M,57,S,7008,11824,1,3387.750592
FANNIE LEGGETT,F,35,S,4120,8566,0,0
VAN LUCKETT,M,50,S,5096,14456,0,0
KINDRA TILLMAN,F,37,M,2452,15011,0,0
STEPHEN AMMONS,M,49,S,3081,13445,1,9301.291907
DAMION MORTON,M,55,S,3042,14372,0,0
MELODI TOBAR,F,37,S,2205,12847,0,0
PAULINA SANDERS,F,25,M,6107,36882,0,0
DIEGO LARSON,M,49,M,2749,15771,1,2262.519989
KYLIE BURLEY,F,72,S,6108,22965,0,0
PRINCE WATTERS,M,29,S,2534,4990,0,0
LEONIA LINVILLE,F,27,M,6210,60895,2,4747.327208
VAUGHN LINDSTROM,M,34,S,2217,23624,0,0
NORMA HERSHBERGER,F,28,M,3929,861,0,0
SONG KUMAR,F,24,M,2650,53974,1,300
ANA ALDRIDGE,F,23,M,4370,17238,0,0
SON MORIN,M,20,M,3052,4675,0,0
FRANKLYN NGO,M,34,S,4005,11331,0,0
ILLA CURTIS,F,23,S,2076,23776,2,1047.601587
INGA FLEMING,F,23,M,3137,13097,0,0
GILBERT PARRISH,M,38,M,2282,14460,0,0
YONG MORTON,M,18,M,2045,6651,0,0
TONEY RAGAN,M,55,S,4670,77161,1,8553.612372
STANFORD PLUMMER,M,56,S,3152,31239,3,37002.27665
CYRSTAL VENABLE,F,41,S,3805,54481,0,0
BART OVIEDO,M,23,M,3109,27046,0,0
SHERY MESA,F,83,S,7250,47234,1,5508.456278
JANAE NARANJO,F,36,S,4511,8027,0,0
SANFORD JUAN,M,16,S,6164,47545,0,0
JOHANA BRADSHAW,F,76,S,4830,1456,0,0
NOEL WORLEY,M,77,S,2477,11247,0,0
CHRISSY LINDSTROM,F,68,S,4870,66306,1,300
MARQUIS BOYCE,M,22,M,2525,10629,0,0
RAMON SHERMAN,M,23,M,3155,20827,1,9056.349657
CHANEL MIGUEL,F,56,M,4068,21899,1,11064.34989
CHRISTENA WHEELER,F,84,S,4020,20373,0,0
TIFFANIE PAXTON,F,44,M,4055,19550,0,0
OTILIA GOLDEN,F,84,S,2204,24611,0,0
JASPER LING,M,27,M,6151,16437,0,0
DANIKA SANCHES,F,49,S,3073,47637,0,0
PETRA SALTER,F,49,S,2230,26976,1,3891.500166
FRANKLYN MEDEIROS,M,31,S,6280,23485,0,0
ARNOLDO SZYMANSKI,M,52,M,3073,47637,0,0
RENAE BOSTON,F,35,S,4223,14072,0,0
SHELDON BLYTHE,M,41,M,2165,39513,0,0
CARRIE SHIPP,F,64,S,6714,18274,0,0
JAIME WHITLOCK,M,61,S,2134,12468,0,0
LEANDRO DURBIN,M,26,S,4814,44387,0,0
ALFONZO BACHMAN,M,27,S,4226,29249,1,3252.262049
OMER JOYNER,M,89,S,5608,13855,0,0
ANDRES STEINMETZ,M,58,S,2196,29598,0,0
WILL HENRIQUEZ,M,16,S,6701,5786,0,0
MATHILDA NOLASCO,F,78,S,6016,9561,0,0
KIRBY MARTINS,M,53,S,4165,33243,0,0
LOLA HYMAN,F,20,S,2519,16241,0,0
SHAUNDA GALL,F,68,S,2083,1544,0,0
OCTAVIO VILLAGOMEZ,M,33,M,4073,9332,0,0
ELTON BALLARD,M,23,M,4157,18674,0,0
FLORENCIO SPAIN,M,69,M,5049,9475,0,0
SHIZUKO FOLEY,F,87,S,3121,26120,1,331.4200171
JAMEY SEBASTIAN,M,61,S,3160,9093,0,0
PHILLIS TACKETT,F,50,S,3594,483,0,0
SCOTTY HEDRICK,M,25,S,4125,6912,0,0
ANNALEE LANDIS,F,63,S,4051,25847,0,0
CHET ARRIOLA,M,62,S,2121,24617,0,0
KEITH FARLEY,M,71,S,2640,33707,0,0
JOHN PEREA,M,36,M,5253,17886,0,0
CYRUS RAO,M,26,M,3141,19132,0,0
MINH WATTS,M,73,S,2117,19019,0,0
TYLER MAZUR,M,43,S,7275,3049,1,5839.382363
VIRGIL STOLTZFUS,M,67,S,3144,10304,0,0
JOEL HAAS,M,44,S,2358,4043,0,0
WHITNEY GUY,M,50,S,4413,6685,0,0
DONNY VANWINKLE,M,77,S,2036,26896,0,0
YURIKO THORNHILL,F,19,M,4152,42501,1,4159.050262
CHADWICK BRAUN,M,47,S,2077,34898,0,0
KARIMA GALLAGHER,F,61,S,2444,42618,1,16683.26268
HECTOR CORRIGAN,M,41,S,4802,8341,1,1799.009957
SHERRON MUIR,F,31,S,3030,77756,1,11223.99861
LYNWOOD XIE,M,46,M,4504,16223,1,2543.191768
BARBERA NICHOLS,F,31,S,4670,77161,2,1081.730088
JESS COSGROVE,M,33,M,2489,6318,1,9801.253069
RENITA CORRAL,F,53,S,4217,35329,1,6153.850808
HAYWOOD BINDER,M,44,S,2232,31260,0,0
BENITA GUAJARDO,F,28,S,2444,42618,0,0
RODGER BOWENS,M,41,M,2031,32321,1,6627.360511
DENICE DENG,F,66,S,6430,23007,2,5558.133333
EVAN SPERRY,M,42,S,2575,14031,0,0
ROCKY MCDOUGAL,M,35,S,2122,28545,0,0
BUFORD MEDEIROS,M,52,S,6721,5198,0,0
LES ULLOA,M,29,M,6020,20283,0,0
TEODORO PALOMO,M,69,S,2324,22535,0,0
ELIANA PEREA,F,30,S,2173,13256,0,0
NICOL BAIL,F,17,S,4133,14705,1,2625.82422
WALTER DUVALL,M,39,S,6027,42096,1,985.2450055
SOL SANDERSON,M,71,S,2290,32178,0,0
CASSIDY DUPRE,F,32,S,2750,42587,1,8125.436547
WILBURN SLOCUM,M,54,S,3222,12065,1,5085.673202
ANDRES RAMON,M,30,M,4560,28041,0,0
NAPOLEON CAUDILL,M,55,S,2076,23776,2,6125.159404
JANIE MCGINNIS,F,59,S,2117,19019,1,9378.593876
KEVEN HOPE,M,44,M,2251,31836,0,0
VIKKI BEVERLY,F,38,M,4575,21145,0,0
NOELLA HUTTON,F,74,M,6163,46259,0,0
BERNARDO MENA,M,42,M,5238,3699,0,0
MIQUEL LANHAM,M,19,M,4213,27712,1,3803.609376
GAY STODDARD,F,27,S,3016,14748,0,0
LEE AVELAR,M,18,M,6168,23468,0,0
KILEY OSWALD,F,88,S,3030,77756,0,0
CLIFF MCNEELY,M,82,S,4207,47473,2,11477.45966
BETHANY ZOOK,F,39,M,3058,31552,0,0
LAVETA TELLO,F,80,M,6065,52076,2,4024.345723
LEANDRO WALTON,M,33,M,5043,17585,2,20248.33862
LINN SHIN,F,37,S,6065,52076,1,9775.666244
ROD ESPINOZA,M,70,S,4122,41929,0,0
AUGUSTUS POORE,M,54,M,3173,19884,1,6899.974088
CHRISTOPHER ANDERSEN,M,37,S,3053,13508,0,0
JOSUE CARDONA,M,77,S,3910,21372,0,0
AUSTIN CURTIS,M,77,S,3241,2233,1,6952.413657
EARL SNOOK,M,78,S,6112,40252,1,645.0220787
HOSEA DEVITO,M,17,S,872,15483,0,0
BONNY VEST,F,72,M,7009,12320,1,1670.829826
JOEL YANG,M,60,S,5174,2558,1,10436.66998
JASON JARAMILLO,M,44,M,3076,26347,0,0
JESSI LYONS,F,18,M,2485,13349,0,0
DIA DOWNING,F,72,S,6233,15782,0,0
CORDELL BARTHOLOMEW,M,38,S,812,19315,1,4327.965931
JC LAYTON,M,28,S,2768,26462,1,6888.075972
OTIS GARMAN,M,16,S,2650,53974,0,0
KATELYNN ALONSO,F,61,S,2830,37737,1,4744.15466
BRAD PAGAN,M,69,S,3134,31104,2,7073.354014
KIMBER MIZE,F,45,S,2161,28269,1,545.7195288
HALEY ALTMAN,F,37,S,3096,1947,0,0
KATE HOOK,F,45,S,2151,20223,1,4162.672249
MEAGAN PIZARRO,F,68,S,3121,26120,1,824.4996621
DICK VOLPE,M,51,S,5723,1694,0,0
VAUGHN SHUMAKER,M,54,S,2197,8175,0,0
LAVONE VENEGAS,F,45,S,2038,8669,0,0
JIMMY ROLLER,F,37,S,2261,51003,0,0
ANGIE ZHENG,F,17,S,2777,17783,1,762.0227684
ROSALIA UNGER,F,65,S,3977,67423,1,6526.086331
ROYAL ARIAS,M,20,M,5235,1930,2,15162.94548
ENDA MOEN,F,58,M,3500,30647,0,0
ADELA BARNHART,F,25,M,2766,14178,0,0
JAMAL WEATHERFORD,M,59,S,2905,29223,1,4602.295323
SPENCER KINDER,M,19,M,2450,38299,0,0
ANNELLE SCHREINER,F,78,S,5167,5250,0,0
KRISTA HANNAH,F,50,S,4740,79542,0,0
CARROL RASH,F,34,S,4507,17047,0,0
HUGH BUTTON,M,55,S,3266,3426,1,4129.1145
FLORENTINO GUESS,M,55,S,2208,11517,0,0
SHILA MILLER,F,25,M,6107,36882,0,0
ILDA CUTLER,F,36,M,4720,13883,0,0
JANELLE GREEN,F,52,S,2281,13417,0,0
LUCIEN SPANN,M,46,S,4116,23308,0,0
EMORY WILSON,M,29,M,2546,8792,0,0
GEORGENE FARLEY,F,24,M,5158,24026,0,0
RONNIE DESIMONE,F,22,M,6108,22965,0,0
CARYN MERTZ,F,37,S,3071,17434,0,0
EMERY HARTLEY,M,67,S,6061,33695,0,0
MACIE LEHMANN,F,69,S,2196,29598,0,0
BRITNEY STANLEY,F,33,S,4570,39094,0,0
DENVER VALADEZ,M,46,S,2213,20376,0,0
ELEONOR MEZA,F,30,M,2443,8849,0,0
